asset_id,phase,category,subject,state,path,logical_canvas,pivot,frames,fps,prompt_section,status,notes,generation_canvas,direction,collision_reference,palette,negative_constraints,godot_import,reviewer,reference_source,reference_sha256,reference_rights_policy,sprite_layout,source_output,cleaned_output,qa_record,godot_evidence
weapon_ak_base,A1,weapon,ak,base,assets/weapons/ak/weapon_ak_base.png,160x96,grip_point,1,0,8.3,planned,default muzzle points right,1024x1024,right,grip_point,weapon_limited_palette,no_text|no_logo|no_character|no_hand|no_muzzle_flash|no_casing|no_environment|no_shadow,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
fx_muzzle_rifle,A1,effect,muzzle_rifle,burst,assets/effects/fx_muzzle_rifle.png,64x64,muzzle_origin,6,18,11.1,planned,transparent sprite sheet,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_6x1,,,,
fx_tracer_rifle,A1,effect,tracer_rifle,base,assets/effects/fx_tracer_rifle.png,32x8,left_center,1,0,11,planned,stretch or trail by engine,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
fx_hit_spark_small,A1,effect,hit_spark,small,assets/effects/fx_hit_spark_small.png,64x64,impact_center,6,20,11.2,planned,no blood,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_6x1,,,,
fx_dummy_hit,A1,effect,dummy_hit,base,assets/effects/fx_dummy_hit.png,64x64,center,4,12,11.2,planned,graybox-compatible,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
character_nini_idle,A2,character,nini,idle,assets/characters/nini/character_nini_idle.png,128x128,feet_center,4,5,6.1,planned,no weapon,1024x1024,down_right,feet_center,character_8_14_colors,no_text|no_logo|no_watermark|no_weapon|no_extra_limbs|no_photorealism|no_3d|no_vector|no_blurry_edges|no_real_person_portrait|no_team_jersey|no_sponsor_mark,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
character_nini_walk,A2,character,nini,walk,assets/characters/nini/character_nini_walk.png,128x128,feet_center,8,10,7,planned,no weapon,1024x1024,down_right,feet_center,character_8_14_colors,no_text|no_logo|no_watermark|no_weapon|no_extra_limbs|no_photorealism|no_3d|no_vector|no_blurry_edges|no_real_person_portrait|no_team_jersey|no_sponsor_mark,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
character_nini_hit,A2,character,nini,hit,assets/characters/nini/character_nini_hit.png,128x128,feet_center,2,12,7,planned,no weapon,1024x1024,down_right,feet_center,character_8_14_colors,no_text|no_logo|no_watermark|no_weapon|no_extra_limbs|no_photorealism|no_3d|no_vector|no_blurry_edges|no_real_person_portrait|no_team_jersey|no_sponsor_mark,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_2x1,,,,
character_nini_death,A2,character,nini,death,assets/characters/nini/character_nini_death.png,128x128,feet_center,6,10,7,planned,non-gory,1024x1024,down_right,feet_center,character_8_14_colors,no_text|no_logo|no_watermark|no_weapon|no_extra_limbs|no_photorealism|no_3d|no_vector|no_blurry_edges|no_real_person_portrait|no_team_jersey|no_sponsor_mark,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_6x1,,,,
portrait_nini,A2,ui,nini,portrait,assets/ui/portraits/portrait_nini.png,128x128,center,1,0,6.1,planned,no frame,1024x1024,none,none,ui_high_readability,no_text|no_logo|no_watermark|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
weapon_deagle_base,A2,weapon,deagle,base,assets/weapons/deagle/weapon_deagle_base.png,160x96,grip_point,1,0,8.1,planned,original fictional design,1024x1024,right,grip_point,weapon_limited_palette,no_text|no_logo|no_character|no_hand|no_muzzle_flash|no_casing|no_environment|no_shadow,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
enemy_chaser_idle,A2,enemy,chaser,idle,assets/enemies/chaser/enemy_chaser_idle.png,96x96,feet_center,4,5,10.1,planned,melee pursuit,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
enemy_chaser_walk,A2,enemy,chaser,walk,assets/enemies/chaser/enemy_chaser_walk.png,96x96,feet_center,8,10,10.1,planned,,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
enemy_chaser_attack,A2,enemy,chaser,attack,assets/enemies/chaser/enemy_chaser_attack.png,96x96,feet_center,5,12,10.1,planned,clear anticipation,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_5x1,,,,
enemy_rusher_idle,A2,enemy,rusher,idle,assets/enemies/rusher/enemy_rusher_idle.png,96x96,feet_center,4,6,10.2,planned,,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
enemy_rusher_walk,A2,enemy,rusher,walk,assets/enemies/rusher/enemy_rusher_walk.png,96x96,feet_center,8,14,10.2,planned,,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
enemy_ranged_idle,A2,enemy,ranged,idle,assets/enemies/ranged/enemy_ranged_idle.png,96x96,feet_center,4,5,10.3,planned,base sprite contains no laser,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
fx_enemy_line_warning,A2,effect,ranged_warning,line,assets/effects/fx_enemy_line_warning.png,64x16,left_center,4,8,11.8,planned,engine shape preferred,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
projectile_enemy_basic,A2,projectile,enemy_basic,base,assets/projectiles/projectile_enemy_basic.png,16x16,center,2,12,10.3,planned,,512x512,right,center,projectile_high_contrast,no_text|no_logo|no_character|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_2x1,,,,
pickup_bounty,A2,pickup,bounty,base,assets/ui/pickups/pickup_bounty.png,32x32,center,4,8,12,planned,no text,512x512,none,center,pickup_high_readability,no_text|no_logo|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
arena_floor_base,A2,arena,floor,base,assets/arena/tiles/arena_floor_base.png,64x64,top_left,1,0,13,planned,seamless,1024x1024,none,tile_bounds,arena_low_contrast,no_text|no_logo|no_characters|no_objects,filter_off|mipmaps_off|repeat_on|lossless,,,,original,single,,,,
arena_floor_variant_01,A2,arena,floor,variant_01,assets/arena/tiles/arena_floor_variant_01.png,64x64,top_left,1,0,13,planned,seamless low contrast,1024x1024,none,tile_bounds,arena_low_contrast,no_text|no_logo|no_characters|no_objects,filter_off|mipmaps_off|repeat_on|lossless,,,,original,single,,,,
arena_wall_base,A2,arena,wall,base,assets/arena/tiles/arena_wall_base.png,64x64,top_left,1,0,13,planned,,1024x1024,none,tile_bounds,arena_low_contrast,no_text|no_logo|no_characters|no_objects,filter_off|mipmaps_off|repeat_on|lossless,,,,original,single,,,,
ui_icon_health,A2,ui,health,icon,assets/ui/icons/ui_icon_health.png,32x32,center,1,0,12,planned,,1024x1024,none,none,ui_high_readability,no_text|no_logo|no_watermark|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
ui_icon_ammo,A2,ui,ammo,icon,assets/ui/icons/ui_icon_ammo.png,32x32,center,1,0,12,planned,,1024x1024,none,none,ui_high_readability,no_text|no_logo|no_watermark|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
ui_icon_reload,A2,ui,reload,icon,assets/ui/icons/ui_icon_reload.png,32x32,center,1,0,12,planned,,1024x1024,none,none,ui_high_readability,no_text|no_logo|no_watermark|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
ui_icon_wave,A2,ui,wave,icon,assets/ui/icons/ui_icon_wave.png,32x32,center,1,0,12,planned,,1024x1024,none,none,ui_high_readability,no_text|no_logo|no_watermark|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
character_dabiaoge_idle,A3,character,dabiaoge,idle,assets/characters/dabiaoge/character_dabiaoge_idle.png,128x128,feet_center,4,5,6.5,planned,no weapon or smoke,1024x1024,down_right,feet_center,character_8_14_colors,no_text|no_logo|no_watermark|no_weapon|no_extra_limbs|no_photorealism|no_3d|no_vector|no_blurry_edges|no_real_person_portrait|no_team_jersey|no_sponsor_mark,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
character_dabiaoge_walk,A3,character,dabiaoge,walk,assets/characters/dabiaoge/character_dabiaoge_walk.png,128x128,feet_center,8,10,7,planned,,1024x1024,down_right,feet_center,character_8_14_colors,no_text|no_logo|no_watermark|no_weapon|no_extra_limbs|no_photorealism|no_3d|no_vector|no_blurry_edges|no_real_person_portrait|no_team_jersey|no_sponsor_mark,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
portrait_dabiaoge,A3,ui,dabiaoge,portrait,assets/ui/portraits/portrait_dabiaoge.png,128x128,center,1,0,6.5,planned,,1024x1024,none,none,ui_high_readability,no_text|no_logo|no_watermark|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
throwable_smoke_base,A3,throwable,smoke,base,assets/throwables/smoke/throwable_smoke_base.png,64x64,center,1,0,9.2,planned,no smoke cloud,1024x1024,down_right,center,throwable_limited_palette,no_text|no_logo|no_hand|no_explosion|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
fx_smoke_puff,A3,effect,smoke,puff,assets/effects/fx_smoke_puff.png,64x64,center,6,6,11.4,planned,layered by engine,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_6x1,,,,
fx_smoke_boundary,A3,effect,smoke,boundary,assets/effects/fx_smoke_boundary.png,128x128,center,8,8,11.4,planned,readable zone edge,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
fx_smoke_end,A3,effect,smoke,end,assets/effects/fx_smoke_end.png,128x128,center,8,12,11.4,planned,,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
enemy_backturn_idle,A3,enemy,backturn,idle,assets/enemies/backturn/enemy_backturn_idle.png,96x96,feet_center,4,5,10.6,planned,front/back readable,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
enemy_backturn_turn,A3,enemy,backturn,turn,assets/enemies/backturn/enemy_backturn_turn.png,96x96,feet_center,6,10,10.6,planned,clear telegraph,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_6x1,,,,
enemy_smokehound_idle,A3,enemy,smokehound,idle,assets/enemies/smokehound/enemy_smokehound_idle.png,96x96,feet_center,4,6,10.8,planned,,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
enemy_smokehound_walk,A3,enemy,smokehound,walk,assets/enemies/smokehound/enemy_smokehound_walk.png,96x96,feet_center,8,12,10.8,planned,,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
character_shebei_idle,A4,character,shebei,idle,assets/characters/shebei/character_shebei_idle.png,128x128,feet_center,4,5,6.3,planned,no weapon,1024x1024,down_right,feet_center,character_8_14_colors,no_text|no_logo|no_watermark|no_weapon|no_extra_limbs|no_photorealism|no_3d|no_vector|no_blurry_edges|no_real_person_portrait|no_team_jersey|no_sponsor_mark,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
portrait_shebei,A4,ui,shebei,portrait,assets/ui/portraits/portrait_shebei.png,128x128,center,1,0,6.3,planned,,1024x1024,none,none,ui_high_readability,no_text|no_logo|no_watermark|no_ui_frame|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
weapon_awp_base,A4,weapon,awp,base,assets/weapons/awp/weapon_awp_base.png,192x96,grip_point,1,0,8.5,planned,no laser in sprite,1024x1024,right,grip_point,weapon_limited_palette,no_text|no_logo|no_character|no_hand|no_muzzle_flash|no_casing|no_environment|no_shadow,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
throwable_flash_base,A4,throwable,flash,base,assets/throwables/flash/throwable_flash_base.png,64x64,center,1,0,9.3,planned,,1024x1024,down_right,center,throwable_limited_palette,no_text|no_logo|no_hand|no_explosion|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
throwable_he_base,A4,throwable,he,base,assets/throwables/he/throwable_he_base.png,64x64,center,1,0,9.1,planned,,1024x1024,down_right,center,throwable_limited_palette,no_text|no_logo|no_hand|no_explosion|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
throwable_fire_base,A4,throwable,fire,base,assets/throwables/fire/throwable_fire_base.png,64x64,center,1,0,9.4,planned,unlit wick,1024x1024,down_right,center,throwable_limited_palette,no_text|no_logo|no_hand|no_explosion|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,single,,,,
fx_flash_burst,A4,effect,flash,burst,assets/effects/fx_flash_burst.png,128x128,center,6,18,11.5,planned,no fullscreen white,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_6x1,,,,
fx_he_explosion,A4,effect,he,explosion,assets/effects/fx_he_explosion.png,128x128,center,10,20,11.6,planned,non-gory,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_10x1,,,,
fx_fire_cluster,A4,effect,fire,cluster,assets/effects/fx_fire_cluster.png,64x64,bottom_center,8,12,11.7,planned,,1024x1024,none,none,effect_limited_palette,no_text|no_logo|no_characters|no_weapon|no_environment,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_8x1,,,,
enemy_shield_idle,A4,enemy,shield,idle,assets/enemies/shield/enemy_shield_idle.png,128x128,feet_center,4,5,10.4,planned,directional front shield,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
enemy_repair_idle,A4,enemy,repair,idle,assets/enemies/repair/enemy_repair_idle.png,96x96,feet_center,4,5,10.5,planned,,1024x1024,down_right,feet_center,enemy_low_saturation,no_text|no_logo|no_watermark|no_ui|no_environment|no_extra_limbs|no_photorealism,filter_off|mipmaps_off|repeat_off|lossless,,,,original,horizontal_4x1,,,,
character_xiaodong_idle,A5,character,xiaodong,idle,assets/characters/xiaodong/character_xiaodong_idle.png,128x128,feet_center,4,5,6.2,planned,no weapon,1024x1024,down_right,feet_center,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_4x1,,,,
character_xiaodong_walk,A5,character,xiaodong,walk,assets/characters/xiaodong/character_xiaodong_walk.png,128x128,feet_center,64,10,6.2,planned,body layer; compose with one grip group; no weapon,1024x1024,eight_way,feet_center,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,grid_8x8,,,,
